id	ref	ref_alt	duration_sec	source
common_voice_00000	Қайтқан малға қасқыр өш.		6.876	common_voice
common_voice_00001	Темір отта, адам жоқшылықта шыңдалады.		5.22	common_voice
common_voice_00002	Адал ұл оздырады, жаман ұл тоздырады.		7.416	common_voice
common_voice_00003	Тәні сұлу — сұлу емес, жаны сұлу — сұлу.		5.508	common_voice
common_voice_00004	Атыңды жүріп тұрғанда қамшыла.		3.96	common_voice
common_voice_00005	Қайғыны қайрат жеңеді.		3.636	common_voice
common_voice_00006	Жақсыны жаман десең, аққудай мойынын созады, жаманды жаман десең, аяғынан тозады.		9.72	common_voice
common_voice_00007	Жаманның қолына бергенше, жақсының жолына бер.		5.076	common_voice
common_voice_00008	Ән сазымен, қыз назымен.		6.048	common_voice
common_voice_00009	Ағайынның беті қисық болса да, бауыры қисық болмайды.		6.3	common_voice
common_voice_00010	Ғылымнан білім зор, білімсіз ғылым — қор.		5.04	common_voice
common_voice_00011	Тіл — бал, тіл — ажал.		3.888	common_voice
common_voice_00012	Ақымақтың атқан оғы ауға тимейді, тауға тиеді.		7.38	common_voice
common_voice_00013	Бұзылғаннан бұйым алма.		4.428	common_voice
common_voice_00014	Алыс жолда жүргенде, амандыққа не жетсін.		4.968	common_voice
common_voice_00015	Заманы қалай болса, бөрікті солай ки.		4.176	common_voice
common_voice_00016	Тесік моншақ жерде қалмас.		4.248	common_voice
common_voice_00017	Келін-келін, келін бақ, келмей жатып сөзін бақ.		5.436	common_voice
common_voice_00018	«Сіз, біз» деген жылы сөз ағайынға жарасар.		4.608	common_voice
common_voice_00019	Тіл тікенді де алады.		2.808	common_voice
common_voice_00020	Өтірік — қаңбақ, шындық — салмақ.		4.968	common_voice
common_voice_00021	Өзін асырамаған жасық, өзгені асырамайды.		4.968	common_voice
common_voice_00022	Жан ауыртқан дос емес.		3.636	common_voice
common_voice_00023	Ала бұтаға ат бекітпе.		3.816	common_voice
common_voice_00024	Көптің тілін алмағанның аузын қойдай кергенін көргенмін.		8.1	common_voice
common_voice_00025	Нағыз адам ізгі ойдан арылмас, санасыз ез жақсылыққа жарымас.		7.704	common_voice
common_voice_00026	Ит қарғылы болса, қайырғанға қарамас.		5.58	common_voice
common_voice_00027	Қалтасында тиыны жоқ, түйенің тісін ашып көреді.		5.22	common_voice
common_voice_00028	Жақсының ісі жаңбыр сияқты, қас та, дос та пайдаланады.		5.436	common_voice
common_voice_00029	Алтау араз болса, ауыздағы кетеді, төртеу тату болса, төбедегі келеді.		6.444	common_voice
common_voice_00030	Жақсы ат ажалға ара тұрмаса да, жаудан құтқарады.		5.616	common_voice
common_voice_00031	Шідерлі атың — өз атың, тұсаулы атың — бос атың.		4.176	common_voice
common_voice_00032	Адамның басы — Алланың добы.		3.6	common_voice
common_voice_00033	Ер өтірік айтпайды, ел өтірік айтады.		4.356	common_voice
common_voice_00034	Жаудың сыртында болғанша, ішінде болған жақсы.		5.004	common_voice
common_voice_00035	Өзі болған жігіттің атасын сұрама.		4.176	common_voice
common_voice_00036	Өз елімнің басы болмасам да, сайының тасы болайын.		5.4	common_voice
common_voice_00037	Бермейтін нәрсе болмайды, сұрауы келіссе.		5.256	common_voice
common_voice_00038	Ақымақтың жетпіс қателігін кешіруге болса да, ақылдының бір қателігін кешіруге болмайды.		6.696	common_voice
common_voice_00039	Балаға тиме, бәлесі жұғады, қатынға тиме, қарасы жұғады.		6.12	common_voice
common_voice_00040	Жалғанға жалқау нанады, иә болмаса аңқау нанады.		4.608	common_voice
common_voice_00041	Ер қолында мал тұрмайды, елек ішінде су тұрмайды.		5.796	common_voice
common_voice_00042	Таудың басын көр де, түбіне барма.		4.608	common_voice
common_voice_00043	Ағайын туған кімде жоқ, сыйласпаса, жат жуық.		6.048	common_voice
common_voice_00044	Атты ақысын жаяуға жібермейді.		4.32	common_voice
common_voice_00045	Тілдің майын тамызып, сөздің балын ағызып, қас шешендер сөз айтар.		7.488	common_voice
