utt	type	ref	hyp
common_voice_00000	близкая форма (фонетика/опечатка)	қайтқан	қайтыған
common_voice_00000	близкая форма (фонетика/опечатка)	малға	мауға
common_voice_00000	полная замена слова	қасқыр	ғазкүроші
common_voice_00000	пропуск слова	өш	
common_voice_00001	пропуск слова	темір	
common_voice_00001	пропуск слова	отта	
common_voice_00001	пропуск слова	адам	
common_voice_00001	пропуск слова	жоқшылықта	
common_voice_00001	пропуск слова	шыңдалады	
common_voice_00002	спецбуквы (ә/ө/ұ/ү/і/ң/қ/ғ)	адал	әдал
common_voice_00002	полная замена слова	ұл	өл
common_voice_00002	близкая форма (фонетика/опечатка)	оздырады	өздірады
common_voice_00002	полная замена слова	ұл	өл
common_voice_00002	близкая форма (фонетика/опечатка)	тоздырады	төздірады
common_voice_00003	уход в русскую графику	тәні	тен
common_voice_00003	уход в русскую графику	сұлу	сул
common_voice_00003	уход в русскую графику	сұлу	сул
common_voice_00003	близкая форма (фонетика/опечатка)	емес	үмес
common_voice_00003	спецбуквы (ә/ө/ұ/ү/і/ң/қ/ғ)	жаны	жаңы
common_voice_00003	уход в русскую графику	сұлу	сул
common_voice_00003	уход в русскую графику	сұлу	сул
common_voice_00004	близкая форма (фонетика/опечатка)	атыңды	отынды
common_voice_00004	близкая форма (фонетика/опечатка)	жүріп	жөріп
common_voice_00004	близкая форма (фонетика/опечатка)	қамшыла	қаншула
common_voice_00005	близкая форма (фонетика/опечатка)	қайғыны	қайрыны
common_voice_00005	близкая форма (фонетика/опечатка)	қайрат	қайрық
common_voice_00005	близкая форма (фонетика/опечатка)	жеңеді	дженгеді
common_voice_00006	близкая форма (фонетика/опечатка)	жақсыны	чақсыңы
common_voice_00006	полная замена слова	жаман	қамандесен
common_voice_00006	полная замена слова	десең	қаққолам
common_voice_00006	полная замена слова	аққудай	бойының
common_voice_00006	полная замена слова	мойынын	сазады
common_voice_00006	полная замена слова	созады	чаманды
common_voice_00006	полная замена слова	жаманды	қамандесен
common_voice_00006	полная замена слова	жаман	қайамына
common_voice_00006	уход в русскую графику	десең	тазады
common_voice_00006	пропуск слова	аяғынан	
common_voice_00006	пропуск слова	тозады	
common_voice_00007	близкая форма (фонетика/опечатка)	жаманның	раманнон
common_voice_00007	близкая форма (фонетика/опечатка)	қолына	қолуға
common_voice_00007	близкая форма (фонетика/опечатка)	бергенше	біргенте
common_voice_00007	полная замена слова	бер	дірі
common_voice_00008	полная замена слова	ән	әндсазымен
common_voice_00008	близкая форма (фонетика/опечатка)	сазымен	қізназымен
common_voice_00008	пропуск слова	қыз	
common_voice_00008	пропуск слова	назымен	
common_voice_00009	близкая форма (фонетика/опечатка)	ағайынның	ағайынын
common_voice_00009	близкая форма (фонетика/опечатка)	қисық	қисқ
common_voice_00009	близкая форма (фонетика/опечатка)	бауыры	бауры
common_voice_00009	близкая форма (фонетика/опечатка)	қисық	қисқ
common_voice_00009	близкая форма (фонетика/опечатка)	болмайды	болмайда
common_voice_00010	вставка слова		ғалымнан
common_voice_00010	полная замена слова	ғылымнан	бәлімі
common_voice_00010	полная замена слова	білім	сұр
common_voice_00010	полная замена слова	зор	бәлімі
common_voice_00010	полная замена слова	білімсіз	сіз
common_voice_00010	близкая форма (фонетика/опечатка)	ғылым	ғалым
common_voice_00011	числа/нормализация	тіл	2
common_voice_00011	близкая форма (фонетика/опечатка)	бал	бау
common_voice_00011	числа/нормализация	тіл	2
common_voice_00011	полная замена слова	ажал	жау
common_voice_00012	близкая форма (фонетика/опечатка)	ақымақтың	ақыматін
common_voice_00012	близкая форма (фонетика/опечатка)	атқан	ақатан
common_voice_00012	близкая форма (фонетика/опечатка)	тимейді	тимейде
common_voice_00012	близкая форма (фонетика/опечатка)	тиеді	тейде
common_voice_00013	вставка слова		бөзіл
common_voice_00013	близкая форма (фонетика/опечатка)	бұзылғаннан	ғанан
common_voice_00013	близкая форма (фонетика/опечатка)	бұйым	бөйім
common_voice_00014	близкая форма (фонетика/опечатка)	алыс	ал
common_voice_00014	близкая форма (фонетика/опечатка)	жолда	шолда
common_voice_00014	близкая форма (фонетика/опечатка)	жүргенде	жүргінті
common_voice_00014	близкая форма (фонетика/опечатка)	амандыққа	амандықққа
common_voice_00014	близкая форма (фонетика/опечатка)	жетсін	жүтсін
common_voice_00015	близкая форма (фонетика/опечатка)	заманы	саман
common_voice_00015	близкая форма (фонетика/опечатка)	болса	болсы
common_voice_00015	близкая форма (фонетика/опечатка)	бөрікті	бұркты
common_voice_00015	близкая форма (фонетика/опечатка)	солай	салай
common_voice_00015	полная замена слова	ки	кей
common_voice_00016	близкая форма (фонетика/опечатка)	моншақ	мұншық
common_voice_00016	близкая форма (фонетика/опечатка)	жерде	шерде
common_voice_00016	близкая форма (фонетика/опечатка)	қалмас	қалмасы
common_voice_00017	близкая форма (фонетика/опечатка)	келмей	келмі
common_voice_00017	близкая форма (фонетика/опечатка)	жатып	үжатып
common_voice_00017	близкая форма (фонетика/опечатка)	сөзін	сүзін
common_voice_00018	близкая форма (фонетика/опечатка)	сіз	сүз
common_voice_00018	близкая форма (фонетика/опечатка)	біз	бүз
common_voice_00018	близкая форма (фонетика/опечатка)	деген	деен
common_voice_00018	близкая форма (фонетика/опечатка)	ағайынға	ағайңға
common_voice_00018	спецбуквы + аффикс	жарасар	жарасары
common_voice_00019	полная замена слова	тіл	жүр
common_voice_00019	полная замена слова	тікенді	түкінде
common_voice_00019	полная замена слова	де	диялады
common_voice_00019	пропуск слова	алады	
common_voice_00020	близкая форма (фонетика/опечатка)	өтірік	үңтүрік
common_voice_00020	спецбуквы (ә/ө/ұ/ү/і/ң/қ/ғ)	қаңбақ	қанбак
common_voice_00020	спецбуквы (ә/ө/ұ/ү/і/ң/қ/ғ)	салмақ	салмак
common_voice_00021	вставка слова		өзің
common_voice_00021	уход в русскую графику	өзін	асыр
common_voice_00021	уход в русскую графику	асырамаған	мауан
common_voice_00021	близкая форма (фонетика/опечатка)	жасық	жасыр
common_voice_00021	близкая форма (фонетика/опечатка)	асырамайды	ассарамайдыр
common_voice_00022	уход в русскую графику	ауыртқан	алпан
common_voice_00022	близкая форма (фонетика/опечатка)	дос	дофимес
common_voice_00022	пропуск слова	емес	
common_voice_00023	близкая форма (фонетика/опечатка)	ала	аллаты
common_voice_00023	близкая форма (фонетика/опечатка)	бұтаға	даға
common_voice_00023	полная замена слова	ат	әтпі
common_voice_00023	полная замена слова	бекітпе	көте
common_voice_00024	вставка слова		көптін
common_voice_00024	полная замена слова	көптің	тәлін
common_voice_00024	полная замена слова	тілін	алмағымын
common_voice_00024	полная замена слова	алмағанның	әлзін
common_voice_00024	полная замена слова	аузын	көйдай
common_voice_00024	полная замена слова	қойдай	көргенің
common_voice_00024	близкая форма (фонетика/опечатка)	кергенін	көргенің
common_voice_00024	аффикс (морфология)	көргенмін	көргенің
common_voice_00025	полная замена слова	нағыз	нақзадам
common_voice_00025	полная замена слова	адам	үзге
common_voice_00025	уход в русскую графику	ізгі	ойда
common_voice_00025	полная замена слова	ойдан	нағымас
common_voice_00025	полная замена слова	арылмас	саныасыз
common_voice_00025	полная замена слова	санасыз	ес
common_voice_00025	полная замена слова	ез	жақсылқа
common_voice_00025	полная замена слова	жақсылыққа	жағымас
common_voice_00025	пропуск слова	жарымас	
common_voice_00026	полная замена слова	ит	ип
common_voice_00026	близкая форма (фонетика/опечатка)	қарғылы	қарғалы
common_voice_00026	близкая форма (фонетика/опечатка)	қайырғанға	қайрыңыға
common_voice_00026	близкая форма (фонетика/опечатка)	қарамас	қарамыз
common_voice_00027	близкая форма (фонетика/опечатка)	тиыны	тиені
common_voice_00027	близкая форма (фонетика/опечатка)	түйенің	тиенің
common_voice_00027	спецбуквы (ә/ө/ұ/ү/і/ң/қ/ғ)	тісін	тисін
common_voice_00027	полная замена слова	ашып	ашқыреді
common_voice_00027	пропуск слова	көреді	
common_voice_00028	аффикс (морфология)	жақсының	жақсыңысы
common_voice_00028	полная замена слова	ісі	жағмық
common_voice_00028	полная замена слова	жаңбыр	сәрті
common_voice_00028	полная замена слова	сияқты	қасыта
common_voice_00028	уход в русскую графику	қас	досыта
common_voice_00028	полная замена слова	та	пайдағанады
common_voice_00028	пропуск слова	дос	
common_voice_00028	пропуск слова	та	
common_voice_00028	пропуск слова	пайдаланады	
common_voice_00029	близкая форма (фонетика/опечатка)	алтау	алтава
common_voice_00029	полная замена слова	араз	ұздағетеді
common_voice_00029	полная замена слова	болса	түртің
common_voice_00029	уход в русскую графику	ауыздағы	татымасы
common_voice_00029	полная замена слова	кетеді	түбетей
common_voice_00029	полная замена слова	төртеу	келені
common_voice_00029	пропуск слова	тату	
common_voice_00029	пропуск слова	болса	
common_voice_00029	пропуск слова	төбедегі	
common_voice_00029	пропуск слова	келеді	
common_voice_00030	уход в русскую графику	жақсы	джерсаат
common_voice_00030	полная замена слова	ат	ажылға
common_voice_00030	полная замена слова	ажалға	әрі
common_voice_00030	полная замена слова	ара	тұрмасады
common_voice_00030	пропуск слова	тұрмаса	
common_voice_00030	пропуск слова	да	
common_voice_00030	полная замена слова	құтқарады	көдіді
common_voice_00031	полная замена слова	шідерлі	сыдірлі
common_voice_00031	близкая форма (фонетика/опечатка)	тұсаулы	түсалу
common_voice_00031	близкая форма (фонетика/опечатка)	бос	осы
common_voice_00032	аффикс (морфология)	адамның	адамың
common_voice_00032	аффикс (морфология)	басы	баса
common_voice_00032	близкая форма (фонетика/опечатка)	алланың	алландоба
common_voice_00032	пропуск слова	добы	
common_voice_00033	близкая форма (фонетика/опечатка)	өтірік	өтр
common_voice_00033	близкая форма (фонетика/опечатка)	айтпайды	қайдпайды
common_voice_00033	полная замена слова	ел	ер
common_voice_00033	близкая форма (фонетика/опечатка)	өтірік	өтр
common_voice_00033	близкая форма (фонетика/опечатка)	айтады	қайдады
common_voice_00034	близкая форма (фонетика/опечатка)	ішінде	ешінде
common_voice_00035	близкая форма (фонетика/опечатка)	өзі	бөзі
common_voice_00035	близкая форма (фонетика/опечатка)	жігіттің	жүгітін
common_voice_00035	близкая форма (фонетика/опечатка)	атасын	атасының
common_voice_00035	близкая форма (фонетика/опечатка)	сұрама	сүрома
common_voice_00036	близкая форма (фонетика/опечатка)	өз	қөз
common_voice_00036	близкая форма (фонетика/опечатка)	елімнің	елемің
common_voice_00036	аффикс (морфология)	болмасам	болмасамда
common_voice_00036	полная замена слова	да	сайыннан
common_voice_00036	пропуск слова	сайының	
common_voice_00037	близкая форма (фонетика/опечатка)	бермейтін	пермейтін
common_voice_00037	близкая форма (фонетика/опечатка)	нәрсе	әрсе
common_voice_00037	близкая форма (фонетика/опечатка)	сұрауы	сұраву
common_voice_00037	близкая форма (фонетика/опечатка)	келіссе	келесе
common_voice_00038	близкая форма (фонетика/опечатка)	жетпіс	жетпіз
common_voice_00038	полная замена слова	қателігін	көтелің
common_voice_00038	близкая форма (фонетика/опечатка)	кешіруге	кешурге
common_voice_00038	аффикс (морфология)	болса	болсада
common_voice_00038	полная замена слова	да	ақылдың
common_voice_00038	пропуск слова	ақылдының	
common_voice_00038	полная замена слова	қателігін	көтелің
common_voice_00038	близкая форма (фонетика/опечатка)	кешіруге	кешурге
common_voice_00039	близкая форма (фонетика/опечатка)	балаға	бұлаға
common_voice_00039	близкая форма (фонетика/опечатка)	жұғады	жұады
common_voice_00039	близкая форма (фонетика/опечатка)	қатынға	қатмыға
common_voice_00039	близкая форма (фонетика/опечатка)	жұғады	жұады
common_voice_00040	вставка слова		жал
common_voice_00040	близкая форма (фонетика/опечатка)	жалғанға	ғанқа
common_voice_00040	близкая форма (фонетика/опечатка)	жалқау	жал
common_voice_00040	близкая форма (фонетика/опечатка)	нанады	қаунынады
common_voice_00040	уход в русскую графику	иә	я
common_voice_00040	полная замена слова	аңқау	ғанқаунынады
common_voice_00040	пропуск слова	нанады	
common_voice_00041	близкая форма (фонетика/опечатка)	ер	йер
common_voice_00041	близкая форма (фонетика/опечатка)	тұрмайды	тұрмайда
common_voice_00041	полная замена слова	елек	и
common_voice_00041	близкая форма (фонетика/опечатка)	ішінде	лекшінде
common_voice_00041	полная замена слова	су	сөтүрмайда
common_voice_00041	пропуск слова	тұрмайды	
common_voice_00042	близкая форма (фонетика/опечатка)	басын	басның
common_voice_00042	спецбуквы + аффикс	көр	көрде
common_voice_00042	полная замена слова	де	төбен
common_voice_00042	уход в русскую графику	түбіне	ебарма
common_voice_00042	пропуск слова	барма	
common_voice_00043	близкая форма (фонетика/опечатка)	ағайын	ағаен
common_voice_00043	близкая форма (фонетика/опечатка)	туған	туран
common_voice_00043	полная замена слова	жоқ	жүрк
common_voice_00043	близкая форма (фонетика/опечатка)	сыйласпаса	селаспаса
common_voice_00043	полная замена слова	жуық	жүрк
common_voice_00044	вставка слова		әтті
common_voice_00044	полная замена слова	атты	әксын
common_voice_00044	полная замена слова	ақысын	жайуға
common_voice_00044	полная замена слова	жаяуға	жүбер
common_voice_00044	полная замена слова	жібермейді	өйді
common_voice_00045	полная замена слова	майын	маинтамызып
common_voice_00045	пропуск слова	тамызып	
common_voice_00045	близкая форма (фонетика/опечатка)	балын	балынағызып
common_voice_00045	полная замена слова	ағызып	қасыщындір
common_voice_00045	полная замена слова	қас	сөзайдар
