id	reference	hypothesis	wer_utt
common_voice_00000	қайтқан малға қасқыр өш	қайтыған мауға ғазкүроші	1.0
common_voice_00001	темір отта адам жоқшылықта шыңдалады		1.0
common_voice_00002	адал ұл оздырады жаман ұл тоздырады	әдал өл өздірады жаман өл төздірады	0.833
common_voice_00003	тәні сұлу сұлу емес жаны сұлу сұлу	тен сул сул үмес жаңы сул сул	1.0
common_voice_00004	атыңды жүріп тұрғанда қамшыла	отынды жөріп тұрғанда қаншула	0.75
common_voice_00005	қайғыны қайрат жеңеді	қайрыны қайрық дженгеді	1.0
common_voice_00006	жақсыны жаман десең аққудай мойынын созады жаманды жаман десең аяғынан тозады	чақсыңы қамандесен қаққолам бойының сазады чаманды қамандесен қайамына тазады	1.0
common_voice_00007	жаманның қолына бергенше жақсының жолына бер	раманнон қолуға біргенте жақсының жолына дірі	0.667
common_voice_00008	ән сазымен қыз назымен	әндсазымен қізназымен	1.0
common_voice_00009	ағайынның беті қисық болса да бауыры қисық болмайды	ағайынын беті қисқ болса да бауры қисқ болмайда	0.625
common_voice_00010	ғылымнан білім зор білімсіз ғылым қор	ғалымнан бәлімі сұр бәлімі сіз ғалым қор	1.0
common_voice_00011	тіл бал тіл ажал	2 бау 2 жау	1.0
common_voice_00012	ақымақтың атқан оғы ауға тимейді тауға тиеді	ақыматін ақатан оғы ауға тимейде тауға тейде	0.571
common_voice_00013	бұзылғаннан бұйым алма	бөзіл ғанан бөйім алма	1.0
common_voice_00014	алыс жолда жүргенде амандыққа не жетсін	ал шолда жүргінті амандықққа не жүтсін	0.833
common_voice_00015	заманы қалай болса бөрікті солай ки	саман қалай болсы бұркты салай кей	0.833
common_voice_00016	тесік моншақ жерде қалмас	тесік мұншық шерде қалмасы	0.75
common_voice_00017	келін келін келін бақ келмей жатып сөзін бақ	келін келін келін бақ келмі үжатып сүзін бақ	0.375
common_voice_00018	сіз біз деген жылы сөз ағайынға жарасар	сүз бүз деен жылы сөз ағайңға жарасары	0.714
common_voice_00019	тіл тікенді де алады	жүр түкінде диялады	1.0
common_voice_00020	өтірік қаңбақ шындық салмақ	үңтүрік қанбак шындық салмак	0.75
common_voice_00021	өзін асырамаған жасық өзгені асырамайды	өзің асыр мауан жасыр өзгені ассарамайдыр	1.0
common_voice_00022	жан ауыртқан дос емес	жан алпан дофимес	0.75
common_voice_00023	ала бұтаға ат бекітпе	аллаты даға әтпі көте	1.0
common_voice_00024	көптің тілін алмағанның аузын қойдай кергенін көргенмін	көптін тәлін алмағымын әлзін көйдай көргенің көргенің көргенің	1.143
common_voice_00025	нағыз адам ізгі ойдан арылмас санасыз ез жақсылыққа жарымас	нақзадам үзге ойда нағымас саныасыз ес жақсылқа жағымас	1.0
common_voice_00026	ит қарғылы болса қайырғанға қарамас	ип қарғалы болса қайрыңыға қарамыз	0.8
common_voice_00027	қалтасында тиыны жоқ түйенің тісін ашып көреді	қалтасында тиені жоқ тиенің тисін ашқыреді	0.714
common_voice_00028	жақсының ісі жаңбыр сияқты қас та дос та пайдаланады	жақсыңысы жағмық сәрті қасыта досыта пайдағанады	1.0
common_voice_00029	алтау араз болса ауыздағы кетеді төртеу тату болса төбедегі келеді	алтава ұздағетеді түртің татымасы түбетей келені	1.0
common_voice_00030	жақсы ат ажалға ара тұрмаса да жаудан құтқарады	джерсаат ажылға әрі тұрмасады жаудан көдіді	0.875
common_voice_00031	шідерлі атың өз атың тұсаулы атың бос атың	сыдірлі атың өз атың түсалу атың осы атың	0.375
common_voice_00032	адамның басы алланың добы	адамың баса алландоба	1.0
common_voice_00033	ер өтірік айтпайды ел өтірік айтады	ер өтр қайдпайды ер өтр қайдады	0.833
common_voice_00034	жаудың сыртында болғанша ішінде болған жақсы	жаудың сыртында болғанша ешінде болған жақсы	0.167
common_voice_00035	өзі болған жігіттің атасын сұрама	бөзі болған жүгітін атасының сүрома	0.8
common_voice_00036	өз елімнің басы болмасам да сайының тасы болайын	қөз елемің басы болмасамда сайыннан тасы болайын	0.625
common_voice_00037	бермейтін нәрсе болмайды сұрауы келіссе	пермейтін әрсе болмайды сұраву келесе	0.8
common_voice_00038	ақымақтың жетпіс қателігін кешіруге болса да ақылдының бір қателігін кешіруге болмайды	ақымақтың жетпіз көтелің кешурге болсада ақылдың бір көтелің кешурге болмайды	0.727
common_voice_00039	балаға тиме бәлесі жұғады қатынға тиме қарасы жұғады	бұлаға тиме бәлесі жұады қатмыға тиме қарасы жұады	0.5
common_voice_00040	жалғанға жалқау нанады иә болмаса аңқау нанады	жал ғанқа жал қаунынады я болмаса ғанқаунынады	1.0
common_voice_00041	ер қолында мал тұрмайды елек ішінде су тұрмайды	йер қолында мал тұрмайда и лекшінде сөтүрмайда	0.75
common_voice_00042	таудың басын көр де түбіне барма	таудың басның көрде төбен ебарма	0.833
common_voice_00043	ағайын туған кімде жоқ сыйласпаса жат жуық	ағаен туран кімде жүрк селаспаса жат жүрк	0.714
common_voice_00044	атты ақысын жаяуға жібермейді	әтті әксын жайуға жүбер өйді	1.25
common_voice_00045	тілдің майын тамызып сөздің балын ағызып қас шешендер сөз айтар	тілдің маинтамызып сөздің балынағызып қасыщындір сөзайдар	0.8
